"effect","group","term","estimate","std.error","statistic","df","p.value","abs.estimate","plus.minus","log.estimate","log.std.error","sig.flag","conf.low","conf.high","log.conf.low","log.conf.high","ci95.low","ci95.high","experiment","trial","sample ID","hypothesis","Combined ID"
"fixed",NA,"treatmentPD1",141.955524591237,105.812837403908,1.34157185530679,31.1469368947066,0.18943497409189,141.955524591237,"p",2.1521522989598,2.02453836028393,"NS",36.1426871873288,247.768361995145,0.127613938675871,4.17669065924374,-65.4376367204232,349.348685902898,"mimic4","BEWELL","HONC60-84","Random Sample","Random (84)"
"fixed",NA,"days2:treatmentPD1",-1.61138778090051,0.348395431449888,-4.62516909074993,56.6657628146018,2.21622571468099e-05,1.61138778090051,"n",-0.207200066080027,0.457927548581461,"S",-1.9597832123504,-1.26299234945062,-0.665127614661488,0.250727482501433,-2.29424282654229,-0.928532735258728,"mimic4","BEWELL","HONC60-84","Random Sample","Random (84)"
"fixed",NA,"days.from.injection",-49.6243124474029,23.8065178028957,-2.08448429368225,58.7023988996687,0.04147630359233,49.6243124474029,"n",-1.695694502595,1.37669587547273,"S",-73.4308302502985,-25.8177946445072,-3.07239037806773,-0.318998627122268,-96.2850873410784,-2.96353755372731,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"days2",2.59759355518672,0.933756552363611,2.78187451387778,57.8667883449474,0.00728437042473067,2.59759355518672,"p",0.414571198103963,0.0297663376312966,"S",1.6638370028231,3.53135010755033,0.384804860472667,0.44433753573526,0.767430712554037,4.42775639781939,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"treatmentPD1",20.6304345832885,151.326416917138,0.136330688346273,16.6171663123006,0.893197878496729,20.6304345832885,"p",1.3145083765498,2.17991474904032,"NS",-130.695982333849,171.956851500426,-0.86540637249052,3.49442312559012,-275.969342574301,317.230211740878,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"gavagePost-BRB",-86.9192634288278,154.011300350979,-0.564369388679571,17.610756867564,0.579620569279554,86.9192634288278,"n",-1.93911603736603,2.18755258771973,"NS",-240.930563779807,67.0920369221512,-4.12666862508576,0.248436550353694,-388.781412116746,214.942885259091,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"days2:treatmentPD1",0.518172440465895,0.438440926737604,1.18185235197262,59.7230397415808,0.24194875807178,0.518172440465895,"p",-0.285525689134583,0.358088912948186,"NS",0.0797315137282903,0.956613367203499,-0.64361460208277,0.0725632238136029,-0.34117177593981,1.3775166568716,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"days2:gavagePost-BRB",2.19378645785463,0.473479104772375,4.6333332046602,61.3604637086817,1.92438092987856e-05,2.19378645785463,"p",0.341194351274753,0.32469918219881,"S",1.72030735308226,2.66726556262701,0.0164951690759433,0.665893533473563,1.26576741250078,3.12180550320849,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"treatmentPD1:gavagePost-BRB",54.6436534380444,214.284693540804,0.255004930754138,16.704273436704,0.801832358445454,54.6436534380444,"p",1.73753972828218,2.33099115028505,"NS",-159.641040102759,268.928346978848,-0.593451422002865,4.06853087856723,-365.354345901931,474.64165277802,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"days2:treatmentPD1:gavagePost-BRB",-1.87100964038388,0.63308502754526,-2.95538444123151,59.8148887745619,0.00446208718104648,1.87100964038388,"n",-0.272076025209651,0.198537957417346,"S",-2.50409466792914,-1.23792461283862,-0.470613982626996,-0.073538067792305,-3.11185629437259,-0.630162986395174,"mimic5","BEWELL","HONC60-102","Random Sample","Random (102)"
"fixed",NA,"days.from.injection",6.67362959631439,24.4936096385505,0.272464111855966,69.0000002328686,0.786078899828532,6.67362959631439,"p",0.824362098521824,1.38905279209025,"NS",-17.8199800422361,31.1672392348649,-0.564690693568427,2.21341489061207,-41.3338452952447,54.6811044878734,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"days2",2.05838412898244,1.06980491507384,1.92407428679683,69.000000193977,0.058470662897705,2.05838412898244,"p",0.313526424619933,0.0293045888707775,"S",0.988579213908599,3.12818904405627,0.284221835749156,0.342831013490711,-0.038433504562283,4.15520176252715,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"treatmentAnti-PD1",125.413617628253,120.853743214321,1.03773051866375,30.2736275247183,0.307613537194529,125.413617628253,"p",2.0983446955036,2.0822601063957,"NS",4.55987441393169,246.267360842574,0.0160845891078925,4.1806048018993,-111.459719071817,362.286954328323,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"days2:treatmentAnti-PD1",-2.21784187724951,0.498677507512805,-4.447447185479,68.9999999376384,3.24488116440865e-05,2.21784187724951,"n",-0.345930579556175,0.302180219877421,"S",-2.71651938476231,-1.7191643697367,-0.648110799433596,-0.0437503596787544,-3.1952497919746,-1.24043396252441,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
